"","KIF13B","group"
"SRR7905615",11.0256641839206,"stable"
"SRR7905616",10.8871754864273,"unstable"
"SRR7905617",11.1675727934025,"stable"
"SRR7905618",10.7929285811586,"unstable"
"SRR7905619",10.8524499583651,"stable"
"SRR7905620",10.783910392098,"unstable"
"SRR7905621",10.9756329072382,"stable"
"SRR7905622",10.5755810866491,"unstable"
